2026-02-02 02:06:38,987 [INFO] Logger initialized
2026-02-02 02:27:54,970 [INFO] [SCRAPE] BTCUSDT price = 77,283.61 USDT
2026-02-02 02:28:00,357 [INFO] [SCRAPE] BTCUSDT price = 77,254.56 USDT
2026-02-02 02:28:05,786 [INFO] [SCRAPE] BTCUSDT price = 77,189.18 USDT
2026-02-02 02:28:11,467 [INFO] [SCRAPE] BTCUSDT price = 77,203.58 USDT
2026-02-02 02:28:16,956 [INFO] [SCRAPE] BTCUSDT price = 77,176.43 USDT
2026-02-02 02:28:22,361 [INFO] [SCRAPE] BTCUSDT price = 77,171.06 USDT
2026-02-02 02:28:27,762 [INFO] [SCRAPE] BTCUSDT price = 77,174.64 USDT
2026-02-02 02:28:33,153 [INFO] [SCRAPE] BTCUSDT price = 77,191.80 USDT
2026-02-02 02:28:38,544 [INFO] [SCRAPE] BTCUSDT price = 77,176.20 USDT
2026-02-02 02:28:43,965 [INFO] [SCRAPE] BTCUSDT price = 77,181.60 USDT
2026-02-02 02:28:49,358 [INFO] [SCRAPE] BTCUSDT price = 77,205.99 USDT
2026-02-02 02:28:54,842 [INFO] [SCRAPE] BTCUSDT price = 77,186.19 USDT
2026-02-02 02:29:00,238 [INFO] [SCRAPE] BTCUSDT price = 77,207.10 USDT
2026-02-02 02:29:05,671 [INFO] [SCRAPE] BTCUSDT price = 77,213.02 USDT
2026-02-02 02:29:11,060 [INFO] [SCRAPE] BTCUSDT price = 77,197.58 USDT
2026-02-02 02:29:16,464 [INFO] [SCRAPE] BTCUSDT price = 77,222.13 USDT
2026-02-02 02:29:21,856 [INFO] [SCRAPE] BTCUSDT price = 77,197.99 USDT
2026-02-02 02:29:27,281 [INFO] [SCRAPE] BTCUSDT price = 77,194.00 USDT
2026-02-02 02:29:32,762 [INFO] [SCRAPE] BTCUSDT price = 77,175.00 USDT
2026-02-02 02:29:38,149 [INFO] [SCRAPE] BTCUSDT price = 77,171.59 USDT
2026-02-02 02:29:43,632 [INFO] [SCRAPE] BTCUSDT price = 77,175.23 USDT
2026-02-02 02:29:49,020 [INFO] [SCRAPE] BTCUSDT price = 77,156.32 USDT
2026-02-02 02:29:54,414 [INFO] [SCRAPE] BTCUSDT price = 77,124.38 USDT
2026-02-02 02:29:59,985 [INFO] [SCRAPE] BTCUSDT price = 77,123.98 USDT
2026-02-02 02:30:05,469 [INFO] [SCRAPE] BTCUSDT price = 77,129.44 USDT
2026-02-02 02:30:10,930 [INFO] [SCRAPE] BTCUSDT price = 77,124.42 USDT
2026-02-02 02:30:16,318 [INFO] [SCRAPE] BTCUSDT price = 77,129.80 USDT
2026-02-02 02:30:21,715 [INFO] [SCRAPE] BTCUSDT price = 77,088.01 USDT
2026-02-02 02:30:27,104 [INFO] [SCRAPE] BTCUSDT price = 77,050.36 USDT
2026-02-02 02:30:32,492 [INFO] [SCRAPE] BTCUSDT price = 77,049.04 USDT
2026-02-02 02:30:37,895 [INFO] [SCRAPE] BTCUSDT price = 77,046.66 USDT
2026-02-02 02:30:43,281 [INFO] [SCRAPE] BTCUSDT price = 77,042.55 USDT
2026-02-02 02:30:48,759 [INFO] [SCRAPE] BTCUSDT price = 77,064.73 USDT
2026-02-02 02:30:54,159 [INFO] [SCRAPE] BTCUSDT price = 77,060.55 USDT
2026-02-02 02:30:59,655 [INFO] [SCRAPE] BTCUSDT price = 77,014.01 USDT
2026-02-02 02:31:05,231 [INFO] [SCRAPE] BTCUSDT price = 77,005.61 USDT
2026-02-02 02:31:10,992 [INFO] [SCRAPE] BTCUSDT price = 77,016.32 USDT
2026-02-02 02:31:16,813 [INFO] [SCRAPE] BTCUSDT price = 77,016.54 USDT
2026-02-02 02:31:22,227 [INFO] [SCRAPE] BTCUSDT price = 77,025.61 USDT
2026-02-02 02:31:27,620 [INFO] [SCRAPE] BTCUSDT price = 76,991.40 USDT
2026-02-02 02:31:33,378 [INFO] [SCRAPE] BTCUSDT price = 77,096.00 USDT
2026-02-02 02:31:38,762 [INFO] [SCRAPE] BTCUSDT price = 77,055.74 USDT
2026-02-02 02:31:44,259 [INFO] [SCRAPE] BTCUSDT price = 77,075.56 USDT
2026-02-02 02:31:49,653 [INFO] [SCRAPE] BTCUSDT price = 77,089.20 USDT
2026-02-02 02:31:55,047 [INFO] [SCRAPE] BTCUSDT price = 77,084.32 USDT
2026-02-02 02:32:00,455 [INFO] [SCRAPE] BTCUSDT price = 77,170.86 USDT
2026-02-02 02:32:05,853 [INFO] [SCRAPE] BTCUSDT price = 77,190.47 USDT
2026-02-02 02:32:11,304 [INFO] [SCRAPE] BTCUSDT price = 77,180.44 USDT
2026-02-02 02:32:17,240 [INFO] [SCRAPE] BTCUSDT price = 77,180.50 USDT
2026-02-02 02:32:23,127 [INFO] [SCRAPE] BTCUSDT price = 77,156.00 USDT
2026-02-02 02:32:28,767 [INFO] [SCRAPE] BTCUSDT price = 77,125.78 USDT
2026-02-02 02:32:34,329 [INFO] [SCRAPE] BTCUSDT price = 77,135.79 USDT
2026-02-02 02:32:39,877 [INFO] [SCRAPE] BTCUSDT price = 77,164.00 USDT
2026-02-02 02:32:45,265 [INFO] [SCRAPE] BTCUSDT price = 77,168.00 USDT
2026-02-02 02:32:50,663 [INFO] [SCRAPE] BTCUSDT price = 77,167.31 USDT
2026-02-02 02:32:56,055 [INFO] [SCRAPE] BTCUSDT price = 77,178.03 USDT
2026-02-02 02:33:01,446 [INFO] [SCRAPE] BTCUSDT price = 77,204.30 USDT
